Class;Date;Opening Price;Closing Price;Maximum;Minimum;Var. %;Return;MOMENTUM5;EMA12;EMA26;MACD 12-26;EMA9 of MACD12-26;MACD 12-26-9;ROI10;ROI20;ROI30;RSI 10;RSI 14;RSI 30;STOCHRSI10;STOCHRSI14;STOCHRSI30;ADX;Williams%R;CCI;ATR;UO;;;;;;;
1;20100723;1087.25;1100.5;1101.5;1084;1.1700;0.011721443;37.5;1077.112345;1076.761658;0.350687349;-4.539622346;4.890309695;2.42787E-06;1.35856E-06;5.49972E-07;50.27075364;50.03123709;50.53232181;0.352388493;0.013910767;0.737855743;28.74367618;-1.012658228;112.5401004;24.17627521;56.88618643;;;;;;;
1;20100726;1101.25;1109.5;1111.75;1097;0.8200;0.008178101;45.75;1082.095062;1079.18672;2.908341074;-3.050029662;5.958370736;2.80912E-06;1.53717E-06;6.3874E-07;50.37921975;50.21101498;50.55822784;0.432900352;0.27959554;0.768580439;29.21770742;-2.356020942;135.4852698;23.50296983;57.62197367;;;;;;;
0;20100727;1109.25;1111;1118.75;1106;0.1400;0.00135196;31;1086.541975;1081.54326;4.998715461;-1.440280637;6.438996098;1.81915E-06;1.75297E-06;6.44009E-07;50.44881526;50.31951741;50.58442608;0.484559473;0.439677288;0.79965169;29.9881548;-11.39705882;137.4399235;22.73490056;62.43345371;;;;;;;
0;20100728;1110.5;1102;1115.75;1099.25;-0.8100;-0.00810081;38;1088.920133;1083.058574;5.861559035;0.020087297;5.841471738;9.9482E-07;2.91425E-06;-2.33733E-07;50.28104437;50.19256492;50.47674312;0.584157499;0.25237478;0.622570721;30.70357021;-24.63235294;109.1924867;22.28955052;58.91414273;;;;;;;
1;20100729;1102.5;1097;1113;1088.75;-0.4500;-0.004537205;9.25;1090.163189;1084.091272;6.071917288;1.230453295;4.841463993;6.2753E-07;3.10597E-06;-3.8631E-07;50.24345359;50.15350636;50.38266118;0.685414947;0.183020398;0.423536376;31.36788453;-31.98529412;84.6214511;22.42958263;50.95787274;;;;;;;
1;20100730;1096.25;1098.25;1103.5;1083.5;0.1100;0.001139471;-2.25;1091.407314;1085.140067;6.267247346;2.237812105;4.029435241;3.02675E-06;3.36498E-06;-4.12588E-07;50.12146987;50.20887382;50.35670143;0.498553124;0.26589792;0.383166321;31.98474782;-30.14705882;63.22598991;22.25604101;57.96861063;;;;;;;
0;20100802;1104.5;1121.75;1124.25;1101.75;2.1400;0.021397678;12.25;1096.07542;1087.851914;8.223505969;3.434950878;4.788555091;4.80797E-06;4.57544E-06;1.63216E-07;50.31027525;50.29011074;50.36091452;0.717384441;0.387498503;0.389718111;30.74149005;-3.401360544;126.6391564;22.52346665;59.94763111;;;;;;;
1;20100803;1121.75;1118.25;1122.75;1113.25;-0.3100;-0.003120125;7.25;1099.486893;1090.103624;9.383269779;4.624614658;4.758655121;3.17792E-06;4.0094E-06;2.92653E-07;50.21542541;50.17014097;50.34795368;0.311871592;0.236203826;0.369562685;30.18369536;-8.163265306;128.4123428;21.59321903;58.85654595;;;;;;;
0;20100804;1118;1124.5;1126;1112.25;0.5600;0.00558909;22.5;1103.335064;1092.651503;10.68356029;5.836403784;4.847156504;4.97475E-06;2.71623E-06;9.90567E-07;50.04195308;50.24712324;50.44482742;0;0.367231122;0.519337757;29.41196054;-1.993355482;129.0047805;21.0329891;59.99796571;;;;;;;
0;20100805;1124.75;1123.5;1127.75;1115.5;-0.0900;-0.000889284;26.5;1106.437362;1094.936577;11.50078436;6.969279899;4.53150446;2.91325E-06;2.35346E-06;1.04669E-06;50.01641451;49.97084151;50.37998797;0;0;0.418322252;28.86917574;-5.519480519;121.0743802;20.40563274;60.28166902;;;;;;;
